project_id,year,period_ending_date,budget_component,usd_planned,actuals_usd,forecast_usd
PROJ-0001,2023,2023-10-20,Fees Revenue,,282022.13,
PROJ-0001,2023,2023-10-20,Fees Cost,,138722.35,
PROJ-0001,2023,2023-10-20,Fees Margin,,143299.78,
PROJ-0001,2023,2023-10-20,Expenses Revenue,,11809.48,
PROJ-0001,2023,2023-10-20,Expenses Cost,,11809.48,
PROJ-0001,2023,2023-10-20,Expenses Margin,,0.0,
PROJ-0001,2023,2023-10-20,Risk Reserve - Revenue,,24800.47,
PROJ-0001,2023,2023-10-20,Risk Reserve - Cost,,24800.47,
PROJ-0001,2023,2023-10-20,Risk Reserve - Margin,,0.0,
PROJ-0001,2023,2023-10-20,Total Revenue,379281.69,318632.08,
PROJ-0001,2023,2023-10-20,Total Cost,209434.77,175332.3,
PROJ-0001,2023,2023-10-20,Total Margin,209434.77,143299.78,
PROJ-0001,2023,2023-11-17,Fees Revenue,,303180.95,
PROJ-0001,2023,2023-11-17,Fees Cost,,149713.14,
PROJ-0001,2023,2023-11-17,Fees Margin,,153467.81,
PROJ-0001,2023,2023-11-17,Expenses Revenue,,13118.37,
PROJ-0001,2023,2023-11-17,Expenses Cost,,13118.37,
PROJ-0001,2023,2023-11-17,Expenses Margin,,0.0,
PROJ-0001,2023,2023-11-17,Risk Reserve - Revenue,,26661.14,
PROJ-0001,2023,2023-11-17,Risk Reserve - Cost,,26661.14,
PROJ-0001,2023,2023-11-17,Risk Reserve - Margin,,0.0,
PROJ-0001,2023,2023-11-17,Total Revenue,379281.69,342960.46,
PROJ-0001,2023,2023-11-17,Total Cost,209434.77,189492.65,
PROJ-0001,2023,2023-11-17,Total Margin,209434.77,153467.81,
PROJ-0001,2023,2023-12-15,Fees Revenue,,281993.91,
PROJ-0001,2023,2023-12-15,Fees Cost,,139342.72,
PROJ-0001,2023,2023-12-15,Fees Margin,,142651.19,
PROJ-0001,2023,2023-12-15,Expenses Revenue,,12319.54,
PROJ-0001,2023,2023-12-15,Expenses Cost,,12319.54,
PROJ-0001,2023,2023-12-15,Expenses Margin,,0.0,
PROJ-0001,2023,2023-12-15,Risk Reserve - Revenue,,24797.99,
PROJ-0001,2023,2023-12-15,Risk Reserve - Cost,,24797.99,
PROJ-0001,2023,2023-12-15,Risk Reserve - Margin,,0.0,
PROJ-0001,2023,2023-12-15,Total Revenue,379281.69,319111.44,
PROJ-0001,2023,2023-12-15,Total Cost,209434.77,176460.25,
PROJ-0001,2023,2023-12-15,Total Margin,209434.77,142651.19,
PROJ-0001,2024,2024-01-12,Fees Revenue,,290680.52,
PROJ-0001,2024,2024-01-12,Fees Cost,,143136.95,
PROJ-0001,2024,2024-01-12,Fees Margin,,147543.57,
PROJ-0001,2024,2024-01-12,Expenses Revenue,,19542.89,
PROJ-0001,2024,2024-01-12,Expenses Cost,,19542.89,
PROJ-0001,2024,2024-01-12,Expenses Margin,,0.0,
PROJ-0001,2024,2024-01-12,Risk Reserve - Revenue,,18128.76,
PROJ-0001,2024,2024-01-12,Risk Reserve - Cost,,18128.76,
PROJ-0001,2024,2024-01-12,Risk Reserve - Margin,,0.0,
PROJ-0001,2024,2024-01-12,Total Revenue,303759.62,328352.17,
PROJ-0001,2024,2024-01-12,Total Cost,167984.73,180808.6,
PROJ-0001,2024,2024-01-12,Total Margin,167984.73,147543.57,
PROJ-0001,2024,2024-02-09,Fees Revenue,,295166.19,
PROJ-0001,2024,2024-02-09,Fees Cost,,146092.36,
PROJ-0001,2024,2024-02-09,Fees Margin,,149073.83,
PROJ-0001,2024,2024-02-09,Expenses Revenue,,21275.35,
PROJ-0001,2024,2024-02-09,Expenses Cost,,21275.35,
PROJ-0001,2024,2024-02-09,Expenses Margin,,0.0,
PROJ-0001,2024,2024-02-09,Risk Reserve - Revenue,,18408.51,
PROJ-0001,2024,2024-02-09,Risk Reserve - Cost,,18408.51,
PROJ-0001,2024,2024-02-09,Risk Reserve - Margin,,0.0,
