project_id,year,resource,role_description,bill_rate,cost_rate,total_hours,labor_revenue,labor_cost,labor_margin
PROJ-0001,2023,Sr. Project Manager,,227.89,113.94,237.5,54123.88,27060.75,27063.13
PROJ-0001,2024,Sr. Project Manager,,227.89,113.94,217.3,49520.5,24759.16,24761.34
PROJ-0001,2023,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",359.69,161.86,374.4,134667.94,60600.38,74067.56
PROJ-0001,2024,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",359.69,161.86,545.1,196067.02,88229.89,107837.13
PROJ-0001,2023,Sr. Data Scientist,,333.99,156.98,489.8,163588.3,76888.8,86699.5
PROJ-0001,2024,Sr. Data Scientist,,333.99,156.98,573.6,191576.66,90043.73,101532.93
PROJ-0001,2023,Data Scientist,,282.43,141.22,472.1,133335.2,66669.96,66665.24
PROJ-0001,2024,Data Scientist,,282.43,141.22,731.9,206710.52,103358.92,103351.6
PROJ-0001,2023,Data Scientist,,291.02,145.51,525.7,152989.21,76494.61,76494.6
PROJ-0001,2024,Data Scientist,,291.02,145.51,652.5,189890.55,94945.27,94945.28
PROJ-0001,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",263.21,131.6,539.1,141896.51,70945.56,70950.95
PROJ-0001,2024,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",263.21,131.6,725.8,191037.82,95515.28,95522.54
PROJ-0001,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",228.19,118.66,433.4,98897.55,51427.24,47470.31
PROJ-0001,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",228.19,118.66,667.4,152294.01,79193.68,73100.33
PROJ-0001,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",237.2,123.34,528.1,125265.32,65135.85,60129.47
PROJ-0001,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",237.2,123.34,683.5,162126.2,84302.89,77823.31
